,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,0.549,0.86,10,-4.147,1,0.0498,0.017,4.26e-06,0.206,0.512,83.971,audio_features,3Ye0p2mpBSyOW4ewtnvX3w,spotify:track:3Ye0p2mpBSyOW4ewtnvX3w,https://api.spotify.com/v1/tracks/3Ye0p2mpBSyOW4ewtnvX3w,https://api.spotify.com/v1/audio-analysis/3Ye0p2mpBSyOW4ewtnvX3w,225413,4
11,0.64,0.649,2,-10.345,1,0.0264,0.216,8.3e-05,0.0551,0.865,124.825,audio_features,4CoSCPlKNrWli7E5kFtbcl,spotify:track:4CoSCPlKNrWli7E5kFtbcl,https://api.spotify.com/v1/tracks/4CoSCPlKNrWli7E5kFtbcl,https://api.spotify.com/v1/audio-analysis/4CoSCPlKNrWli7E5kFtbcl,221053,4
12,0.914,0.463,6,-10.187,0,0.174,0.038,0.0,0.0833,0.532,144.039,audio_features,5faz5WYRJdRDiCa42DSgHR,spotify:track:5faz5WYRJdRDiCa42DSgHR,https://api.spotify.com/v1/tracks/5faz5WYRJdRDiCa42DSgHR,https://api.spotify.com/v1/audio-analysis/5faz5WYRJdRDiCa42DSgHR,153360,4
13,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,02MWAaffLxlfxAUY7c5dvx,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4
14,0.441,0.744,6,-6.248,0,0.476,0.262,0.000382,0.138,0.124,81.396,audio_features,66Q3fAmSX5eHamgbKa9alP,spotify:track:66Q3fAmSX5eHamgbKa9alP,https://api.spotify.com/v1/tracks/66Q3fAmSX5eHamgbKa9alP,https://api.spotify.com/v1/audio-analysis/66Q3fAmSX5eHamgbKa9alP,251573,4
15,0.433,0.478,2,-6.641,1,0.0725,0.191,0.0,0.32,0.173,179.98,audio_features,6zdg9ovHEPx9EblJcc7FGf,spotify:track:6zdg9ovHEPx9EblJcc7FGf,https://api.spotify.com/v1/tracks/6zdg9ovHEPx9EblJcc7FGf,https://api.spotify.com/v1/audio-analysis/6zdg9ovHEPx9EblJcc7FGf,230000,4
16,0.656,0.672,10,-7.385,0,0.0468,0.0636,1.45e-05,0.186,0.137,130.006,audio_features,7iC56CDz8miPDKaH0OEIqS,spotify:track:7iC56CDz8miPDKaH0OEIqS,https://api.spotify.com/v1/tracks/7iC56CDz8miPDKaH0OEIqS,https://api.spotify.com/v1/audio-analysis/7iC56CDz8miPDKaH0OEIqS,217609,4
17,0.363,0.376,1,-10.95,1,0.0515,0.706,0.0144,0.0841,0.242,133.76,audio_features,6YTUGuz1IzqKFpNm0yGQws,spotify:track:6YTUGuz1IzqKFpNm0yGQws,https://api.spotify.com/v1/tracks/6YTUGuz1IzqKFpNm0yGQws,https://api.spotify.com/v1/audio-analysis/6YTUGuz1IzqKFpNm0yGQws,416373,4
18,0.468,0.495,5,-6.634,1,0.0822,0.429,0.0,0.305,0.235,171.4,audio_features,3w1P8nwsVi9vxrGvxYLzAC,spotify:track:3w1P8nwsVi9vxrGvxYLzAC,https://api.spotify.com/v1/tracks/3w1P8nwsVi9vxrGvxYLzAC,https://api.spotify.com/v1/audio-analysis/3w1P8nwsVi9vxrGvxYLzAC,201401,4
19,0.616,0.47,5,-6.092,0,0.0253,0.291,0.0,0.111,0.325,80.03,audio_features,0Z5ok0QLLttAKsujOZYOXf,spotify:track:0Z5ok0QLLttAKsujOZYOXf,https://api.spotify.com/v1/tracks/0Z5ok0QLLttAKsujOZYOXf,https://api.spotify.com/v1/audio-analysis/0Z5ok0QLLttAKsujOZYOXf,210507,4
20,0.74,0.566,1,-8.389,0,0.32,0.0034,0.0,0.589,0.342,156.197,audio_features,6MDdceLYec4AxohmorE4vH,spotify:track:6MDdceLYec4AxohmorE4vH,https://api.spotify.com/v1/tracks/6MDdceLYec4AxohmorE4vH,https://api.spotify.com/v1/audio-analysis/6MDdceLYec4AxohmorE4vH,123447,4
21,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,audio_features,2y4lAQpi5VTNLu2ldeTdUH,spotify:track:2y4lAQpi5VTNLu2ldeTdUH,https://api.spotify.com/v1/tracks/2y4lAQpi5VTNLu2ldeTdUH,https://api.spotify.com/v1/audio-analysis/2y4lAQpi5VTNLu2ldeTdUH,231240,4
22,0.723,0.49,9,-14.745,0,0.0296,0.111,0.0946,0.0923,0.795,129.012,audio_features,5TWPfkeN07aERO0Yn2D2t2,spotify:track:5TWPfkeN07aERO0Yn2D2t2,https://api.spotify.com/v1/tracks/5TWPfkeN07aERO0Yn2D2t2,https://api.spotify.com/v1/audio-analysis/5TWPfkeN07aERO0Yn2D2t2,252773,4
23,0.613,0.442,6,-8.874,1,0.288,0.651,0.0,0.26,0.252,119.737,audio_features,5wTVNpi5WDByxBgKgUE6MU,spotify:track:5wTVNpi5WDByxBgKgUE6MU,https://api.spotify.com/v1/tracks/5wTVNpi5WDByxBgKgUE6MU,https://api.spotify.com/v1/audio-analysis/5wTVNpi5WDByxBgKgUE6MU,181120,5
24,0.707,0.625,4,-9.529,1,0.0303,0.0259,5.42e-05,0.104,0.634,119.049,audio_features,1VN2vWSkSmMKOhxr8lHzSx,spotify:track:1VN2vWSkSmMKOhxr8lHzSx,https://api.spotify.com/v1/tracks/1VN2vWSkSmMKOhxr8lHzSx,https://api.spotify.com/v1/audio-analysis/1VN2vWSkSmMKOhxr8lHzSx,222400,4
